Inventario,Expediente,Nº Serie,Estado,Artículo,Marca,Descripción Espacio,Modelo,Destino Dotación,Subsede,Pabellón,Planta,Espacio,Familia,Subfamilia,Subtipo,Proveedor,Id Patrimonial,Prestamos/Reservas,F. Fin Garantía,Fecha Baja,Verificado CAU,Propietario,Usuario,Observaciones
INV-092,EXP-2023-092,SN-000092,Inoperativo,Monitor,Dell,Aula Dibujo,UltraSharp 24,Alumnos,Sede Central,Pabellón Norte,Planta 1,Aula 205,Informática,Periféricos,Monitores,Pantallas SA,PAT-5092,No,2023-11-20,2025-10-01,Sí,Instituto 92,,Dato de prueba 92
INV-093,EXP-2023-093,SN-000093,Activo,Proyector,Epson,Salón de Actos,EB-L200F,General,Sede Central,Pabellón Principal,Planta Baja,Salón Actos,Audiovisuales,Proyección,Láser,AudioVisuales Pro,PAT-5093,Sí,2027-01-10,,Sí,Instituto 93,Mantenimiento,Dato de prueba 93
INV-094,EXP-2023-094,SN-000094,Activo,Impresora,Brother,Sala de Profesores,MFC-L8690CDW,Profesores,Sede Sur,Edificio Anexo,Planta 2,Sala Profesores,Informática,Impresión,Láser Color,OfiImprime,PAT-5094,No,2025-09-01,,Sí,Instituto 94,Claustro,Dato de prueba 94
INV-095,EXP-2023-095,SN-000095,STOCK,Tablet,Samsung,Biblioteca,Galaxy Tab A,Préstamo,Sede Sur,Edificio Anexo,Planta Baja,Biblioteca,Informática,Equipos,Tablets,InfoTech SL,PAT-5095,Sí,2022-02-15,,Sí,Instituto 95,,Dato de prueba 95
INV-096,EXP-2023-096,SN-000096,Prestamo,Portátil,Lenovo,Secretaría,ThinkPad E14,Administración,Sede Norte,Edificio Principal,Planta 1,Oficina 1,Informática,Equipos,Portátiles,Compuserv,PAT-5096,No,2026-08-20,,Sí,Instituto 96,Admin,Dato de prueba 96
INV-097,EXP-2023-097,SN-000097,Activo,Ordenador,HP,Aula 102,EliteDesk 800,Alumnos,Sede Central,Pabellón Principal,Planta Baja,Aula 102,Informática,Equipos,Sobremesa,InfoTech SL,PAT-5097,No,2026-05-15,,Sí,Instituto 97,Profesorado,Dato de prueba 97
INV-098,EXP-2023-098,SN-000098,Inoperativo,Monitor,HP,Aula 102,P24 G4,Alumnos,Sede Central,Pabellón Principal,Planta Baja,Aula 102,Informática,Periféricos,Monitores,InfoTech SL,PAT-5098,No,2026-05-15,,Sí,Instituto 98,,Dato de prueba 98
INV-099,EXP-2023-099,SN-000099,Activo,Ordenador,Dell,Laboratorio,OptiPlex 5090,Investigación,Sede Central,Edificio Ciencias,Planta 2,Lab 1,Informática,Equipos,Sobremesa,Dell Direct,PAT-5099,No,2025-12-30,,Sí,Instituto 99,Técnicos,Dato de prueba 99
INV-100,EXP-2023-100,SN-000100,Activo,Impresora,HP,Dirección,LaserJet Pro,Administración,Sede Central,Pabellón Principal,Planta 1,Despacho 5,Informática,Impresión,Láser,InfoTech SL,PAT-5100,No,2026-01-15,,Sí,Instituto 100,Director,Dato de prueba 100
[... repetido cíclicamente con propietarios Instituto 101 hasta Instituto 1000 ...]
